ChamberTyp,CoverLevel,InvertDept,NodeRefere,NodeType,SewerUsage,InfCovLev,xcoord,ycoord,zcoord
Null,,,NZ42484423,CE,C,"62330",442434.737,548420.673,60.1763253541701
Null,,,NZ42484335,J,C,"63190",442434.746,548399.1,62.2217052916697
MH,,,NZ42484306,CH,C,"63000",442437,548398,62.2109270833333
MH,,"950",NZ42484414,CH,C,"61240",442438,548443,59.2555113636364
Null,,,NZ42484336,J,C,"63350",442438.029,548387.791,62.1821347500009
Null,,,NZ42484427,J,C,"60670",442439.642,548456.063,58.7873262500016
Null,,,NZ42484337,J,C,"63460",442441.312,548376.482,61.9869308750011
MH,,,NZ42484308,CH,C,"63160",442442,548387,61.9774375
MH,,"780",NZ42484415,CH,C,"61200",442444.451,548436.829,58.716238977272
MH,,"780",NZ42482310,CH,C,"61970",442299,548390,61.6665
MH,,,NZ42482308,CH,C,"62500",442299,548341,61.5470625
MH,,"710",NZ42483314,CH,C,"62370",442302,548380,61.7098125
MH,,"590",NZ42483313,CH,C,"62630",442305,548369,61.7506875
MH,,"820",NZ42483421,CH,C,"60880",442306,548477,60.12353125
MH,,,NZ42483312,CH,C,"62640",442308,548349,61.769625
MH,,"520",NZ42483423,CH,C,"61700",442330,548446,61.33540625
MH,,"720",NZ42483424,CH,C,"61560",442331,548456,61.14171875
MH,,"640",NZ42483417,CH,C,"62390",442332,548424,61.85628125
Null,,,NZ42483433,J,C,"61500",442332.814,548460.89,61.076900875
MH,,"750",NZ42483416,CH,C,"62220",442334,548429,61.79328125
MH,,,NZ42483414,CH,C,"62900",442334,548408,62.24740625
MH,,,NZ42483413,CH,C,"63120",442335,548403,62.37809375
MH,,"880",NZ42483310,CH,C,"63100",442338,548392,62.5513125
MH,,"1100",NZ42483308,CH,C,"63420",442340,548380,62.5671875
Null,,,NZ42483430,J,C,"62050",442341.256,548435.784,61.8102907500002
Null,,,NZ42483425,J,C,"62350",442341.881,548433.926,61.8645715625003
MH,,,NZ42483418,CH,C,"62870",442343,548424,62.10446875
MH,,"840",NZ42483307,CH,C,"63380",442344,548366,62.6233125
Null,,,NZ42483431,J,C,"62650",442344.418,548426.379,62.085016500001
MH,,"2400",NZ42483401,CH,C,"63070",442345.973,548421.759,62.2200086875008
MH,,"760",NZ42483306,CH,C,"63500",442346,548357,62.6465
MH,,"680",NZ42483305,CH,C,"63580",442346.932,548348.339,62.6464170624994
MH,,,NZ42483415,CH,C,"63430",442347,548410,62.49746875
Null,,,NZ42483428,J,C,"63290",442347.067,548417.305,62.3410098124985
MH,,"1650",NZ42483405,CH,C,"62170",442348,548436,61.95778125
Null,,,NZ42483429,J,C,"63430",442348.407,548411.853,62.4891430625001
MH,,,NZ42483309,CH,C,"63670",442352.92,548384.595,62.8698953124996
Null,,,NZ42483316,J,C,"63590",442354.894,548385.469,62.9165640624994
MH,,"1610",NZ42483406,CH,C,"62390",442359,548438,62.16271875
Null,,,NZ42483426,J,C,"62940",442362.903,548426.75,62.4940614374998
MH,,"1250",NZ42482612,CH,C,"53670",442297,548639,54.474109375
MH,,"1960",NZ42483602,CH,C,"52230",442309.03,548662.488,52.4219980624976
