DateLaid,Material,Diameter,NetworkFun,ReviewAge,ReviewDiam,ReviewMate,ID,length,straightdis,sinuosity
01-01-1991,UPVC,"8""",DISTRIBUTION,"1991","200",UPVC,WTE-606993,2.31476240680574,2.31476240680574,1
01-01-1991,UPVC,"8""",DISTRIBUTION,"1991","200",UPVC,WTE-606980,2.85428975401837,2.85428975401837,1
01-01-1991,UPVC,"8""",DISTRIBUTION,"1991","200",UPVC,WTE-289890,162.697661733438,131.983114696547,1.23271573115629
01-01-1992,UPVC,"4""",DISTRIBUTION,"1992","100",UPVC,WTE-283007,74.5359577153225,54.8379387832257,1.35920421826873
01-01-1991,PE,"2""",FIRE,"1991","50",PE,WTE-607922,14.3878074320203,14.0919556130359,1.02099437630294
01-01-1991,UPVC,"6""",DISTRIBUTION,"1991","150",UPVC,WTE-545866,11.499586296891,11.499586296891,1
01-01-1991,PE,"2""",FIRE,"1991","50",PE,WTE-607921,19.8541849640192,19.3798978841442,1.02447314648974
01-01-1991,PE,"2""",FIRE,"1991","50",PE,WTE-545876,2.26857334017558,2.26857334017558,1
01-01-1991,UPVC,"6""",DISTRIBUTION,"1991","150",UPVC,WTE-545868,21.6672803745061,21.6652160847918,1.00009528128897
01-01-1992,UPVC,"4""",DISTRIBUTION,"1992","100",UPVC,WTE-550626,2.37893279027343,2.32578932844706,1.02284964557037
01-01-1992,UPVC,"4""",DISTRIBUTION,"1992","100",UPVC,WTE-545859,2.32668712982624,2.32668712982624,1
01-01-1992,UPVC,"4""",DISTRIBUTION,"1992","100",UPVC,WTE-286788,25.433764172826,25.433764172826,1
01-01-1992,UPVC,"4""",DISTRIBUTION,"1992","100",UPVC,WTE-282109,92.9492004151622,92.7201383572984,1.00247046717058
01-01-1991,PE,"2""",FIRE,"1991","50",PE,WTE-607920,10.8893710103038,10.8893710103038,1
01-01-1991,PE,"2""",FIRE,"1991","50",PE,WTE-545879,2.32680746942994,2.32680746942994,1
01-01-1991,UPVC,"6""",DISTRIBUTION,"1991","150",UPVC,WTE-545870,15.8585726028372,15.8585726028372,1
01-01-1995,MOPVC,"160",DISTRIBUTION,"1995","160",MOPVC,WTE-556187,27.9896557494111,21.7932505606708,1.28432679978097
01-01-1991,UPVC,"6""",DISTRIBUTION,"1991","150",UPVC,WTE-556180,12.7575891922919,12.7575891922919,1
01-01-1991,,"2""",FIRE,"1991","50",PE,WTE-607918,7.27002517196577,7.27002517196577,1
01-01-1991,PE,"2""",FIRE,"1991","50",PE,WTE-545882,2.02428777597246,2.02428777597246,1
01-01-1991,UPVC,"6""",DISTRIBUTION,"1991","150",UPVC,WTE-282007,42.9852161795364,42.9852161795364,1
01-01-1991,UPVC,"6""",DISTRIBUTION,"1991","150",UPVC,WTE-282005,5.15968564932509,5.15968564932509,1
01-01-1991,UPVC,"6""",DISTRIBUTION,"1991","150",UPVC,WTE-282003,4.39046159302645,4.39046159302645,1
01-01-1991,UPVC,"6""",DISTRIBUTION,"1991","150",UPVC,WTE-282001,3.2636214546921,3.2636214546921,1
01-01-1991,UPVC,"6""",DISTRIBUTION,"1991","150",UPVC,WTE-606988,2.46676731777891,2.46676731777891,1
01-01-1991,UPVC,"6""",DISTRIBUTION,"1991","150",UPVC,WTE-281998,33.2748668667779,33.2748668667779,1
,UPVC,"4""",DISTRIBUTION,"1990","100",UPVC,WTE-606973,2.83905917511792,2.83905917511792,1
