UpDepth,DownDepth,DownNode,UpNode,FlowType,Height,Width,Material,ReviewAge,ReviewDiam,ReviewDept,YearLaidBa,SewerUsage,InfCovLev,ID,length,straightdis,sinuosity
,,NZ2742P009,NZ2742P007,GRV,"100",,Z,,,,,C,,STE-S1411640,6.67037540179334,6.67037540179334,1
,,NZ2742A011,NZ2742P009,GRV,"100",,Z,,,,,C,,STE-S1411641,4.86620642802616,4.86620642802616,1
,,NZ27429822,NZ27429821,GRV,"100",,Z,,,,,C,,STE-S1411644,12.9080545396983,12.9080545396983,1
,,NZ2742A010,NZ2742P006,GRV,"100",,Z,,,,,C,,STE-S1411613,3.70416846266704,3.70416846266704,1
,,NZ27429820,NZ2742A011,GRV,"100",,Z,,,,,C,,STE-S1411642,8.67495487022326,8.67495487022326,1
,,NZ27429812,NZ2742A010,GRV,"100",,Z,,,,,C,,STE-S1411614,4.69639872666684,4.69639872666684,1
,,NZ27429809,NZ27429812,GRV,"100",,Z,,,,,C,,STE-S1411615,3.32697400049271,3.32697400049271,1
,,NZ27429807,NZ27429820,GRV,"150",,Z,"1935","150","0.70",,C,,STE-S1411639,1.96255063631809,1.96255063631809,1
,,NZ27429820,NZ27429809,GRV,"150",,Z,"1935","150","0.70",,C,,STE-S1411612,22.347570248235,22.347570248235,1
,,NZ28424901,NZ28424814,GRV,"100",,,,,,,C,,STE-S1410664,114.501630731611,96.7499087338171,1.18348050380733
,,NZ28424815,NZ28425802,GRV,"100",,,,,,,C,,STE-S1410665,57.977501152494,53.6216838321909,1.08123238602381
"1440","1310",NZ28436003,NZ28436002,GRV,"150",,Z,"1945","150","1.30",,C,,STE-S188627,43.1948240534052,43.1948240534052,1
"1300","1450",NZ28436003,NZ28427908,GRV,"150",,CI,"1945","225","1.40",,C,,STE-S203559,57.1935914242773,57.1935914242773,1
,"1480",NZ28437007,NZ28436003,GRV,,,Z,"1945","150","1.50",,C,,STE-S203569,35.5521422701641,35.5521422701641,1
"1450",,NZ28427908,NZ28427903,GRV,"100",,CI,"1945","225","1.30",,F,,STE-S188066,6.63528220946371,6.63528220946371,1
,,NZ29423914,NZ29433002,GRV,"150",,Z,"1925","150","2.00",,C,,STE-S203439,38.1519716135227,38.1519716135227,1
,,NZ29423914,NZ2942P091,GRV,"100",,Z,,,,,C,,STE-S1427674,4.51001405785064,2.41470826392564,1.86772626955715
,,NZ29423901,NZ29423914,GRV,"150",,Z,"1925","150","2.00",,C,,STE-S1427669,1.02440324096935,1.02440324096935,1
,,NZ29423913,NZ29423901,GRV,,,Z,"1925","150","1.80",,C,,STE-S188372,13.9135181747966,13.9135181747966,1
,,NZ29423901,NZ29423909,GRV,"150",,Z,"1925","150","1.20",,C,,STE-S203305,27.651479888102,27.651479888102,1
,"980",NZ29426920,NZ29426903,GRV,"150",,VC,"1965","150","1.00",,S,,STE-S203057,21.9054060223004,21.9054060223004,1
,,NZ2942P090,NZ2942P093,GRV,"100",,VC,,,,,S,,STE-S1427639,1.76838485628021,1.76838485628021,1
,,NZ2942P089,NZ2942P092,GRV,"100",,VC,,,,,F,,STE-S1427637,1.73996896523263,1.73996896523263,1
,,NZ2942P089,NZ2942P090,GRV,"100",,VC,,,,,S,,STE-S1427634,2.98197920862173,2.98197920862173,1
,,NZ2942A007,NZ2942P089,GRV,"150",,VC,,,,,C,,STE-S1427633,2.69791326770415,2.69791326770415,1
,,NZ29426920,NZ2942A007,GRV,"150",,VC,,,,,C,,STE-S1427635,1.7123180195135,1.7123180195135,1
"800",,NZ29426902,NZ29426920,GRV,"150",,VC,"1965","150","1.00",,C,,STE-S1427631,4.06245836896994,4.06245836896994,1
,,NZ2942P078,NZ2942P079,GRV,,,Z,,,,,S,,STE-S1421121,45.381275610067,45.381275610067,1
,,NZ2942P082,NZ2942P083,GRV,,,Z,,,,,C,,STE-S1421129,5.35419928658851,5.35419928658851,1
,,NZ2942P079,NZ2942P080,GRV,,,Z,,,,,S,,STE-S1421120,5.94614379240106,5.94614379240106,1
,,NZ30432005,NZ30422806,PMP,"200",,CI,,,,01-01-1955,C,,STE-S193874,196.329224989096,195.830928027188,1.00254452637756
,,NZ30433107,NZ30432005,PMP,"200",,CI,,,,01-01-1955,C,,STE-S1442346,114.969471065392,114.969468368814,1.00000002345473
,,NZ30433304,NZ30433207,GRV,,,CI,,,,,C,,STE-S1288242,65.8079524829718,65.8079524829718,1
,,NZ30433402,NZ30433304,GRV,"225",,Z,,,,,C,,STE-S1434038,88.1131860393701,88.1131860393701,1
,,NZ30433403,NZ30433402,GRV,,,Z,,,,,C,,STE-S1434039,58.1174294854658,58.1174294854658,1
,,NZ3043P342,NZ3043P343,GRV,,,Z,,,,,S,,STE-S1436530,22.6456039884056,22.6456039884056,1
,,NZ30433510,NZ30433403,GRV,,,Z,,,,,C,,STE-S1434040,32.7247529860592,32.7247529860592,1
,,NZ3043P344,NZ3043P345,GRV,,,Z,,,,,S,,STE-S1436528,9.16516104603372,9.16516104603372,1
,,NZ3043P347,NZ3043P346,GRV,,,Z,,,,,F,,STE-S1436525,8.79826619285158,8.79826619285158,1
,,NZ3043P342,NZ3043P344,GRV,,,Z,,,,,S,,STE-S1436529,4.3527352320249,4.3527352320249,1
,,NZ3043P341,NZ3043P342,GRV,,,Z,,,,,S,,STE-S1436531,9.9883142221626,9.9883142221626,1
,"2130",NZ30433511,NZ30432502,GRV,"225",,VC,"1925","225","1.90",,F,,STE-S194319,64.342124498681,64.342124498681,1
,,NZ3043A094,NZ3043P347,GRV,,,Z,,,,,F,,STE-S1436526,1.09207737821413,1.09207737821413,1
,,NZ30435504,NZ3043A094,GRV,,,Z,,,,,F,,STE-S1436527,5.48742134336407,5.48742134336407,1
,,NZ30433511,NZ30432505,GRV,,,Z,,,,,C,,STE-S1436355,19.6901504157811,19.6850042926298,1.00026142352193
"1710",,NZ30433504,NZ30433511,GRV,"225",,VC,"1925","225","1.90",,F,,STE-S1436353,12.5956030819864,12.5956030819864,1
,,NZ30432505,NZ30432507,GRV,,,Z,,,,,C,,STE-S1441121,2.26896826778869,2.26896826778869,1
,,NZ30432505,NZ30432506,GRV,,,Z,,,,,C,,STE-S1441122,1.47783794778894,1.47783794778894,1
,,NZ30435716,NZ30435713,GRV,"150",,VC,"1925","150","1.20",,F,,STE-S193594,9.16902421203477,9.16902421203477,1
,,NZ30435724,NZ30435726,GRV,,,Z,,,,,S,,STE-S1400008,10.3304239674087,8.84205343795181,1.1683286060078
,,NZ30435717,NZ30435716,GRV,"150",,VC,"1925","150","1.80",,F,,STE-S338333,5.53963256901522,5.53963256901522,1
,,NZ29427705,NZ2942P076,GRV,,,Z,,,,,S,,STE-S1421124,58.5500546541246,58.5500546541246,1
,,NZ2942P076,NZ2942P077,GRV,,,Z,,,,,S,,STE-S1421123,35.3059059790733,35.3059059790733,1
,,NZ2942P075,NZ2942P088,GRV,,,Z,,,,,C,,STE-S1421134,12.1101719640741,12.1101719640741,1
,,NZ2942P084,NZ2942P075,GRV,,,Z,,,,,C,,STE-S1420726,36.1508548723465,36.1508548723465,1
,,NZ29427614,NZ2942P084,GRV,,,Z,,,,,C,,STE-S1420724,93.9879573615716,93.9879573615716,1
,,NZ29427706,NZ29427705,GRV,,,Z,,,,,S,,STE-S1421125,1.44511660428324,1.44511660428324,1
,,NZ29427706,NZ2942P085,GRV,,,Z,,,,,S,,STE-S1421131,3.93507623816852,3.93507623816852,1
,,NZ29427615,NZ29427706,GRV,,,Z,,,,,S,,STE-S1421130,42.6739602099695,42.6739602099695,1
,,NZ29427606,NZ29427615,GRV,,,Z,,,,,S,,STE-S1421126,5.96545161736795,5.96545161736795,1
,,NZ29428602,NZ29427614,GRV,,,Z,,,,,C,,STE-S1420725,19.9953943947167,19.9953943947167,1
,,NZ2942P077,NZ2942P086,GRV,,,Z,,,,,S,,STE-S1421132,7.12379961814397,7.12379961814397,1
,,NZ2942P077,NZ2942P078,GRV,,,Z,,,,,S,,STE-S1421122,28.7833432735025,28.7833432735025,1
